Name,area_num_1,sqmiles,Region,Region2,Ring,P1930,P1940,P1950,P1960,P1970,P1980,P1990,P2000,P2010,P2020,D2020,max,maxdensity,maxdecade
 Rogers Park,1,1.84,Far North Side,North,5,57094,60565,62252,56888,60759,55525,60378,63484,54991,55628,30232.6,63484,34502.2,2000
 West Ridge,2,3.53,Far North Side,North,5,39759,43553,47930,63884,65477,61129,65374,73199,71942,77122,21847.6,77122,21847.6,2020
 Uptown,3,2.32,Far North Side,North,4,67699,77677,84462,76103,74838,64414,63839,63551,56362,57182,24647.4,84462,36406.0,1950
 Lincoln Square,4,2.56,Far North Side,North,4,46419,47179,47298,49850,47831,43954,44891,44574,39493,40494,15818.0,49850,19472.7,1960
 North Center,5,2.05,North Side,North,3,47651,48759,47787,43877,39378,35161,33010,31895,31867,35114,17128.8,48759,23784.9,1940
 Lake View,6,3.12,North Side,North,3,114872,121455,124824,118764,114889,97519,91031,94817,94368,103050,33028.8,124824,40007.7,1950
 Lincoln Park,7,3.16,North Side,North,2,97873,100826,102396,88836,67718,57146,61092,64320,64116,70492,22307.6,102396,32403.8,1950
 Near North Side,8,2.74,Central,Central,1,79554,76954,89196,75509,70329,67157,62842,72811,80484,105481,38496.7,105481,38496.7,2020
 Edison Park,9,1.13,Far North Side,North,7,5370,5999,7843,12568,13076,12457,11426,11259,11187,11525,10199.1,13076,11571.7,1970
 Norwood Park,10,4.37,Far North Side,North,7,14408,16466,26798,40953,41995,40586,37530,37669,37023,38303,8765.0,41995,9609.8,1970
 Jefferson Park,11,2.33,Far North Side,North,6,20532,21537,23556,27494,27553,24583,23649,25859,25448,26216,11251.5,27553,11825.3,1970
 Forest Glen,12,3.2,Far North Side,North,6,4065,6630,12189,19228,20531,18991,17655,18165,18508,19596,6123.8,20531,6415.9,1970
 North Park,13,2.52,Far North Side,North,5,11052,12271,15291,17866,16851,15273,16236,18514,17931,17559,6967.9,18514,7346.8,2000
 Albany Park,14,1.92,Far North Side,North,5,55577,56692,52995,49450,47092,46075,49501,57655,51542,48396,25206.3,57655,30028.6,2000
 Portage Park,15,3.95,Northwest Side,North,5,64203,66357,64736,65925,63626,57349,56513,65340,64124,63020,15954.4,66357,16799.2,1940
 Irving Park,16,3.21,Northwest Side,North,4,66783,66553,64881,58298,54883,49489,50159,58643,53359,51940,16180.7,66783,20804.7,1930
 Dunning,17,3.72,Northwest Side,North,6,19659,23328,32231,41626,43843,37860,36957,42164,41932,43147,11598.7,43843,11785.8,1970
 Montclare,18,0.99,Northwest Side,North,5,8500,9693,11166,11802,11698,10793,10573,12646,13426,14401,14546.5,14401,14546.5,2020
 Belmont Cragin,19,3.91,Northwest Side,North,4,60221,63302,63546,60883,57288,53371,56787,78144,78743,78116,19978.5,78743,20138.9,2010
 Hermosa,20,1.17,Northwest Side,North,4,23518,22894,22805,21429,19947,19547,23131,26908,25010,24062,20565.8,26908,22998.3,2000
 Avondale,21,1.98,North Side,North,3,48433,47684,45313,39748,35714,33527,35579,43083,39262,36257,18311.6,48433,24461.1,1930
 Logan Square,22,3.59,North Side,North,3,114174,110010,106763,94799,88462,84768,82605,82715,73595,71665,19962.4,114174,31803.3,1930
 Humboldt Park,23,3.6,West Side,West,3,80835,79329,76199,71609,71326,70879,67573,65836,56323,54165,15045.8,80835,22454.2,1930
 West Town,24,4.58,West Side,West,2,187292,169924,161620,139657,125120,96428,87703,87435,81432,87781,19166.2,187292,40893.4,1930
 Austin,25,7.15,West Side,West,4,131114,132107,132180,125133,128084,138026,114079,117527,98514,96557,13504.5,138026,19304.3,1980
