1,Daniel La Spata,2019,5,Daniel La Spata,2019,1,Proco Joe Moreno,2010,6,Proco Joe Moreno,2010,2,Manny Flores,2003,5
2,Brian Hopkins,2015,9,Brian Hopkins,2015,5,Brian Hopkins,2015,1,Robert Fioretti,2007,5,Robert Fioretti,2007,1
3,Pat Dowell,2007,17,Pat Dowell,2007,13,Pat Dowell,2007,9,Pat Dowell,2007,5,Pat Dowell,2007,1
4,Lamont Robinson,2023,1,Sophia King,2016,4,Will Burns,2011,5,Will Burns,2011,1,Toni Preckwinkle,1991,17
5,Desmon Yancy,2023,1,Leslie Hairston,1999,21,Leslie Hairston,1999,17,Leslie Hairston,1999,13,Leslie Hairston,1999,9
6,William Hall,2023,1,Roderick Sawyer,2011,9,Roderick Sawyer,2011,5,Roderick Sawyer,2011,1,Freddrenna Lyle,1998,10
7,Greg Mitchell,2015,9,Greg Mitchell,2015,5,Greg Mitchell,2015,1,Sandi Jackson,2007,5,Sandi Jackson,2007,1
8,Michelle Harris,2006,18,Michelle Harris,2006,14,Michelle Harris,2006,10,Michelle Harris,2006,6,Michelle Harris,2006,2
9,Anthony Beale,1999,25,Anthony Beale,1999,21,Anthony Beale,1999,17,Anthony Beale,1999,13,Anthony Beale,1999,9
10,Peter Chico,2023,1,Susie Sadlowski Garza,2015,5,Susie Sadlowski Garza,2015,1,John Pope,1999,13,John Pope,1999,9
11,Nicole Lee,2022,2,Patrick Thompson,2015,5,Patrick Thompson,2015,1,James Balcer,1997,15,James Balcer,1997,11
12,Julia Ramirez,2023,1,George Cardenas,2003,17,George Cardenas,2003,13,George Cardenas,2003,9,George Cardenas,2003,5
13,Marty Quinn,2011,13,Marty Quinn,2011,9,Marty Quinn,2011,5,Marty Quinn,2011,1,Marty Quinn,2011,-3
14,Jeylu Gutierrez,2023,1,Ed Burke,1969,51,Ed Burke,1969,47,Ed Burke,1969,43,Ed Burke,1969,39
15,Ray Lopez,2015,9,Ray Lopez,2015,5,Ray Lopez,2015,1,Toni Foulkes,2007,5,Toni Foulkes,2007,1
16,Stephanie Coleman,2019,5,Stephanie Coleman,2019,1,Toni Foulkes,2007,9,Shirley Coleman,1991,21,Shirley Coleman,1991,17
17,David Moore,2015,9,David Moore,2015,5,David Moore,2015,1,Latasha Thomas,2000,12,Latasha Thomas,2000,8
18,Derrick Curtis,2015,9,Derrick Curtis,2015,5,Derrick Curtis,2015,1,Lona Lane,2006,6,Lona Lane,2006,2
19,Matt O'Shea,2011,13,Matt O'Shea,2011,9,Matt O'Shea,2011,5,Matt O'Shea,2011,1,Virginia Rugai,1991,17
20,Jeanette Taylor,2019,5,Jeanette Taylor,2019,1,Willie Cochran,2007,9,Willie Cochran,2007,5,Willie Cochran,2007,1
21,Ronnie Mosley,2023,1,Howard Brookins,2003,17,Howard Brookins,2003,13,Howard Brookins,2003,9,Howard Brookins,2003,5
