ward,lastname,Alder,Fire_Carter,rta_vote,LSD,speedlimit,stay6over,shotspot,RTA_Medina
1,La Spata,Daniel La Spata,Yes,,Yes,Yes,Yes,No,Yes
2,Hopkins,Brian Hopkins,No Vote,,0,No,No,Yes,No
3,Dowell,Pat Dowell,No Vote,,0,Not Likely,No,Yes,No
4,Robinson,Lamont Robinson,No Vote,,0,Probably,,No Vote,No Vote
5,Yancy,Desmon Yancy,Yes,,0,Probably,,Yes,No Vote
6,Hall,William Hall,No,,0,Maybe,,No,Yes
7,Mitchell,Greg Mitchell,No Vote,,0,Maybe,Yes,Yes,No
8,Harris,Michelle Harris,No Vote,,0,Maybe,Yes,Yes,No
9,Beale,Anthony Beale,No,,0,Not Likely,No,Yes,No
10,Chico,Peter Chico,Yes,,0,Not Likely,,Yes,No
11,Lee,Nicole Lee,Yes,,0,Probably,Yes,Yes,No
12,Ramirez,Julia Ramirez,Yes,,0,Probably,,No,Yes
13,Quinn,Marty Quinn,Yes,,0,Not Likely,No,Yes,No
14,Gutierrez,Jeylu Gutierrez,Yes,,0,Not Likely,,Yes,Yes
15,Lopez,Ray Lopez,Yes,,0,No,No,Yes,Yes
16,Coleman,Stephanie Coleman,No Vote,,0,Maybe,Yes,Yes,No Vote
17,Moore,David Moore,No Vote,,0,No,Yes,Yes,Yes
18,Curtis,Derrick Curtis,Yes,,0,Not Likely,Yes,Yes,No
19,O'Shea,Matt O'Shea,Yes,,0,Not Likely,No,Yes,No
20,Taylor,Jeanette Taylor,Yes,,0,Probably,,No,Yes
21,Mosley,Ronnie Mosley,No Vote,,0,Not Likely,,Yes,No Vote
22,Rodriguez,Mike Rodriguez,No Vote,,0,Yes,Yes,No,Yes
23,Tabares,Silvana Tabares,Yes,,0,Not Likely,No,Yes,No
24,Scott,Monique Scott,No Vote,,0,Maybe,Yes,Yes,No
25,Sigcho-Lopez,Byron Sigcho-Lopez,Yes,,Yes,Yes,Yes,No,Yes
26,Fuentes,Jessie Fuentes,Yes,,0,Probably,,No,No Vote
27,Burnett,Walter Burnett,No Vote,,0,Maybe,Yes,No Vote,No Vote
28,Ervin,Jason Ervin,No,,0,No,Yes,No,Yes
29,Taliaferro,Chris Taliaferro,No,,0,Not Likely,Yes,Yes,No
30,Cruz,Ruth Cruz,Yes,,Yes,Yes,,Yes,Yes
31,Cardona,Felix Cardona,Yes,,0,Maybe,Yes,Yes,Yes
32,Waguespack,Scott Waguespack,Yes,,Yes,Maybe,Yes,Yes,No
33,Rodriguez-Sanchez,Rossana Rodriguez-Sanchez,Yes,,0,Probably,No Vote,No,No Vote
34,Conway,Bill Conway,Yes,,0,Maybe,,Yes,No
35,Ramirez-Rosa,Carlos Ramirez-Rosa,Yes,,Yes,Probably,No Vote,No,Yes
36,Villegas,Gil Villegas,No Vote,,0,Maybe,Yes,Yes,No
37,Mitts,Emma Mitts,No Vote,,0,Maybe,Yes,Yes,No
38,Sposato,Nick Sposato,No Vote,,0,No,Yes,Yes,Yes
39,Nugent,Sam Nugent,No Vote,,0,Not Likely,No,Yes,Yes
40,Vasquez,Andre Vasquez,Yes,,Yes,Yes,Yes,No,No
41,Napolitano,Anthony Napolitano,Yes,,0,Not Likely,No,Yes,No
42,Reilly,Brendan Reilly,Yes,,Yes,Not Likely,No,Yes,No
43,Knudsen,Timmy Knudsen,No Vote,,Yes,Yes,,Yes,Yes
44,Lawson,Bennett Lawson,No Vote,,Yes,Yes,,Yes,No
45,Gardiner,Jim Gardiner,Yes,,0,Maybe,Yes,Yes,No
46,Clay,Angela Clay,Yes,,Yes,Probably,,No,No
47,Martin,Matt Martin,Yes,,Yes,Yes,,No,No
48,Manaa-Hoppenworth,Leni Manaa-Hoppenworth,Yes,,Yes,Yes,,No,Yes
49,Hadden,Maria Hadden,Yes,,Yes,Probably,,No,Yes
50,Silverstein,Debra Silverstein,Yes,,Yes,Maybe,No,Yes,No
