station_id,STATION,NAME,lat,lng,Color,Hex,Branch,Blue,Brown,Green,Orange,Pink,Purple,Red,Yellow
40010,Austin-Forest Park,Austin,41.870851,-87.776812,Blue ,#00a1de,Forest Park,Yes,No,No,No,No,No,No,No
40020,Harlem-Lake,Harlem,41.886848,-87.803176,Green ,#009b3a,Oak Park,No,No,Yes,No,No,No,No,No
40030,Pulaski-Lake,Pulaski,41.885412,-87.725404,Green ,#009b3a,Oak Park,No,No,Yes,No,No,No,No,No
40040,Quincy-Wells,Quincy-Wells,41.878723,-87.63374,Brown Orange Pink Purple,#9C9C9C,Loop,No,Yes,No,Yes,Yes,Yes,No,No
40050,Davis,Davis,42.04771,-87.683543,Purple ,#522398,Linden,No,No,No,No,No,Yes,No,No
40060,Belmont-O'Hare,Belmont,41.938132,-87.712359,Blue ,#00a1de,O'Hare,Yes,No,No,No,No,No,No,No
40070,Jackson-Dearborn,Jackson,41.878183,-87.629296,Blue ,#00a1de,Loop,Yes,No,No,No,No,No,No,No
40080,Sheridan,Sheridan,41.953775,-87.654929,Red ,#c60c30,Howard,No,No,No,No,No,No,Yes,No
40090,Damen-Ravenswood,Damen,41.966286,-87.678639,Brown ,#62361b,Kimball,No,Yes,No,No,No,No,No,No
40100,Morse,Morse,42.008362,-87.665909,Red ,#c60c30,Howard,No,No,No,No,No,No,Yes,No
40120,35th-Archer,35th/Archer,41.829353,-87.680622,Orange ,#f9461c,Midway,No,No,No,Yes,No,No,No,No
40130,51st,51st,41.80209,-87.618487,Green ,#009b3a,Cottage Grove - 63rd,No,No,Yes,No,No,No,No,No
40140,Dempster - Skokie,Dempster ,42.038951,-87.751919,Yellow ,#f9e300,Skokie,No,No,No,No,No,No,No,Yes
40150,Pulaski-Douglas,Pulaski,41.853732,-87.724311,Pink ,#e27ea6,Cermak,No,No,No,No,Yes,No,No,No
40160,LaSalle-Van Buren,LaSalle-Van Buren,41.8768,-87.631739,Brown Orange Pink Purple,#9C9C9C,Loop,No,Yes,No,Yes,Yes,Yes,No,No
40170,Ashland-Lake,Ashland,41.885269,-87.666969,Green Pink,#9C9C9C,Mixed,No,No,Yes,No,Yes,No,No,No
40180,Oak Park-Congress,Oak Park,41.872108,-87.791602,Blue ,#00a1de,Forest Park,Yes,No,No,No,No,No,No,No
40190,Sox-35th-Dan Ryan,Sox,41.831191,-87.630636,Red ,#c60c30,95th,No,No,No,No,No,No,Yes,No
40610,Ridgeland,Ridgeland,41.887159,-87.783661,Green ,#009b3a,Oak Park,No,No,Yes,No,No,No,No,No
40210,Damen-Cermak,Damen,41.854517,-87.675975,Pink ,#e27ea6,Cermak,No,No,No,No,Yes,No,No,No
40220,Western-Congress,Western,41.875478,-87.688436,Blue ,#00a1de,Forest Park,Yes,No,No,No,No,No,No,No
40230,Cumberland,Cumberland,41.984246,-87.838028,Blue ,#00a1de,O'Hare,Yes,No,No,No,No,No,No,No
40240,79th,79th,41.750419,-87.625112,Red ,#c60c30,95th,No,No,No,No,No,No,Yes,No
